CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,1
2,Female,20,16,2
3,Male,21,17,3
4,Female,22,18,4
5,Male,23,19,5
6,Female,24,20,6
7,Male,25,21,7
8,Female,26,22,8
9,Male,27,23,9
10,Female,28,24,10
11,Male,29,25,11
12,Female,30,26,12
13,Male,31,27,13
14,Female,32,28,14
15,Male,33,29,15
16,Female,34,30,16
17,Male,35,31,17
18,Female,36,32,18
19,Male,37,33,19
20,Female,38,34,20
21,Male,39,35,21
22,Female,40,36,22
23,Male,41,37,23
24,Female,42,38,24
25,Male,43,39,25
26,Female,44,40,26
27,Male,45,41,27
28,Female,46,42,28
29,Male,47,43,29
30,Female,48,44,30
31,Male,49,45,31
32,Female,50,46,32
33,Male,51,47,33
34,Female,52,48,34
35,Male,53,49,35
36,Female,54,50,36
37,Male,55,51,37
38,Female,56,52,38
39,Male,57,53,39
40,Female,58,54,40
41,Male,59,55,41
42,Female,60,56,42
43,Male,61,57,43
44,Female,62,58,44
45,Male,63,59,45
46,Female,64,60,46
47,Male,65,61,47
48,Female,66,62,48
49,Male,67,63,49
50,Female,68,64,50
51,Male,19,65,51
52,Female,20,66,52
53,Male,21,67,53
54,Female,22,68,54
55,Male,23,69,55
56,Female,24,70,56
57,Male,25,71,57
58,Female,26,72,58
59,Male,27,73,59
60,Female,28,74,60
61,Male,29,75,61
62,Female,30,76,62
63,Male,31,77,63
64,Female,32,78,64
65,Male,33,79,65
66,Female,34,80,66
67,Male,35,81,67
68,Female,36,82,68
69,Male,37,83,69
70,Female,38,84,70
71,Male,39,85,71
72,Female,40,86,72
73,Male,41,87,73
74,Female,42,88,74
75,Male,43,89,75
76,Female,44,90,76
77,Male,45,91,77
78,Female,46,92,78
79,Male,47,93,79
80,Female,48,94,80
81,Male,49,95,81
82,Female,50,96,82
83,Male,51,97,83
84,Female,52,98,84
85,Male,53,99,85
86,Female,54,100,86
87,Male,55,101,87
88,Female,56,102,88
89,Male,57,103,89
90,Female,58,104,90
91,Male,59,105,91
92,Female,60,106,92
93,Male,61,107,93
94,Female,62,108,94
95,Male,63,109,95
96,Female,64,110,96
97,Male,65,111,97
98,Female,66,112,98
99,Male,67,113,99
100,Female,68,114,100
101,Male,19,15,1
102,Female,20,16,2
103,Male,21,17,3
104,Female,22,18,4
105,Male,23,19,5
106,Female,24,20,6
107,Male,25,21,7
108,Female,26,22,8
109,Male,27,23,9
110,Female,28,24,10
111,Male,29,25,11
112,Female,30,26,12
113,Male,31,27,13
114,Female,32,28,14
115,Male,33,29,15
116,Female,34,30,16
117,Male,35,31,17
118,Female,36,32,18
119,Male,37,33,19
120,Female,38,34,20
121,Male,39,35,21
122,Female,40,36,22
123,Male,41,37,23
124,Female,42,38,24
125,Male,43,39,25
126,Female,44,40,26
127,Male,45,41,27
128,Female,46,42,28
129,Male,47,43,29
130,Female,48,44,30
131,Male,49,45,31
132,Female,50,46,32
133,Male,51,47,33
134,Female,52,48,34
135,Male,53,49,35
136,Female,54,50,36
137,Male,55,51,37
138,Female,56,52,38
139,Male,57,53,39
140,Female,58,54,40
141,Male,59,55,41
142,Female,60,56,42
143,Male,61,57,43
144,Female,62,58,44
145,Male,63,59,45
146,Female,64,60,46
147,Male,65,61,47
148,Female,66,62,48
149,Male,67,63,49
150,Female,68,64,50
151,Male,19,65,51
152,Female,20,66,52
153,Male,21,67,53
154,Female,22,68,54
155,Male,23,69,55
156,Female,24,70,56
157,Male,25,71,57
158,Female,26,72,58
159,Male,27,73,59
160,Female,28,74,60
161,Male,29,75,61
162,Female,30,76,62
163,Male,31,77,63
164,Female,32,78,64
165,Male,33,79,65
166,Female,34,80,66
167,Male,35,81,67
168,Female,36,82,68
169,Male,37,83,69
170,Female,38,84,70
171,Male,39,85,71
172,Female,40,86,72
173,Male,41,87,73
174,Female,42,88,74
175,Male,43,89,75
176,Female,44,90,76
177,Male,45,91,77
178,Female,46,92,78
179,Male,47,93,79
180,Female,48,94,80
181,Male,49,95,81
182,Female,50,96,82
183,Male,51,97,83
184,Female,52,98,84
185,Male,53,99,85
186,Female,54,100,86
187,Male,55,101,87
188,Female,56,102,88
189,Male,57,103,89
190,Female,58,104,90
191,Male,59,105,91
192,Female,60,106,92
193,Male,61,107,93
194,Female,62,108,94
195,Male,63,109,95
196,Female,64,110,96
197,Male,65,111,97
198,Female,66,112,98
199,Male,67,113,99
200,Female,68,114,100
